hour,queue_length,arrival_rate,total_pings,data_gap,dayofweek,hourofday
2021-10-01 00:00:00,39,39,1562,False,4,0
2021-10-01 01:00:00,38,0,1709,False,4,1
2021-10-01 02:00:00,39,1,1763,False,4,2
2021-10-01 03:00:00,38,0,1653,False,4,3
2021-10-01 04:00:00,38,1,1798,False,4,4
2021-10-01 05:00:00,39,1,1837,False,4,5
2021-10-01 06:00:00,39,2,1881,False,4,6
2021-10-01 07:00:00,39,1,1805,False,4,7
2021-10-01 08:00:00,39,1,1782,False,4,8
2021-10-01 09:00:00,40,5,1833,False,4,9
2021-10-01 10:00:00,41,4,610,False,4,10
2021-10-01 11:00:00,2,0,8,False,4,11
2021-10-01 12:00:00,40,5,1060,False,4,12
2021-10-01 13:00:00,43,7,1969,False,4,13
2021-10-01 14:00:00,42,3,1924,False,4,14
2021-10-01 15:00:00,43,4,2119,False,4,15
2021-10-01 16:00:00,41,0,2029,False,4,16
2021-10-01 17:00:00,40,1,1930,False,4,17
2021-10-01 18:00:00,44,3,2164,False,4,18
2021-10-01 19:00:00,44,5,2141,False,4,19
2021-10-01 20:00:00,46,4,2068,False,4,20
2021-10-01 21:00:00,45,1,2094,False,4,21
2021-10-01 22:00:00,44,2,2098,False,4,22
2021-10-01 23:00:00,44,4,2102,False,4,23
2021-10-02 00:00:00,44,1,2090,False,5,0
2021-10-02 01:00:00,44,3,1758,False,5,1
2021-10-02 02:00:00,45,1,1738,False,5,2
2021-10-02 03:00:00,43,2,1730,False,5,3
2021-10-02 04:00:00,40,0,1903,False,5,4
2021-10-02 05:00:00,43,3,1973,False,5,5
2021-10-02 06:00:00,43,2,2022,False,5,6
2021-10-02 07:00:00,43,3,1938,False,5,7
2021-10-02 08:00:00,45,3,1923,False,5,8
2021-10-02 09:00:00,42,1,1953,False,5,9
2021-10-02 10:00:00,43,3,2007,False,5,10
2021-10-02 11:00:00,42,1,2050,False,5,11
2021-10-02 12:00:00,44,3,2134,False,5,12
2021-10-02 13:00:00,43,0,1920,False,5,13
2021-10-02 14:00:00,42,2,1971,False,5,14
2021-10-02 15:00:00,41,0,1861,False,5,15
2021-10-02 16:00:00,41,0,1559,False,5,16
2021-10-02 17:00:00,41,1,1654,False,5,17
2021-10-02 18:00:00,41,1,1888,False,5,18
2021-10-02 19:00:00,40,0,2075,False,5,19
2021-10-02 20:00:00,40,1,2083,False,5,20
2021-10-02 21:00:00,41,2,2086,False,5,21
2021-10-02 22:00:00,45,9,2093,False,5,22
2021-10-02 23:00:00,46,6,2024,False,5,23
2021-10-03 00:00:00,42,0,1700,False,6,0
2021-10-03 01:00:00,44,1,1777,False,6,1
2021-10-03 02:00:00,46,2,2016,False,6,2
2021-10-03 03:00:00,45,1,1982,False,6,3
