queue_lag_1h,queue_lag_2h,queue_lag_3h,queue_lag_6h,queue_lag_12h,queue_lag_24h,queue_roll_mean_3h,queue_roll_std_3h,queue_roll_mean_6h,queue_roll_std_6h,queue_roll_mean_12h,queue_roll_std_12h,arrival_lag_1h,arrival_lag_3h,arrival_lag_6h,hour_sin,hour_cos,dow_sin,dow_cos
44.0,44.0,41.0,43.0,42.0,44.0,43.0,1.7320508075688466,42.5,2.0736441353329904,42.916666666666664,1.7816403745541358,4.0,4.0,10.0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
44.0,44.0,44.0,44.0,42.0,44.0,44.0,0.0,42.666666666666664,2.1602468994695005,43.083333333333336,1.7816403745541338,3.0,5.0,7.0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146
42.0,44.0,44.0,39.0,43.0,43.0,43.333333333333336,1.1547005383792064,42.333333333333336,2.065591117977504,43.083333333333336,1.7816403745541338,1.0,4.0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
43.0,42.0,44.0,41.0,46.0,45.0,43.0,0.9999999999999485,43.0,1.2649110640677286,43.083333333333336,1.7816403745541338,5.0,3.0,4.0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146
44.0,43.0,42.0,44.0,43.0,44.0,43.0,0.9999999999999485,43.5,0.8366600265346757,42.916666666666664,1.5642792899507023,3.0,1.0,5.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
45.0,44.0,43.0,44.0,44.0,41.0,44.0,0.9999999999999485,43.666666666666664,1.0327955589891393,43.083333333333336,1.6764862244006162,4.0,5.0,4.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146
40.0,45.0,44.0,44.0,43.0,39.0,43.0,2.645751311064571,43.0,1.7888543820000975,42.75,1.864744681523909,3.0,3.0,3.0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
42.0,40.0,45.0,42.0,44.0,45.0,42.333333333333336,2.5166114784235627,42.666666666666664,1.7511900715420876,42.666666666666664,1.8748737331219119,2.0,4.0,1.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146
42.0,42.0,40.0,43.0,39.0,40.0,41.333333333333336,1.1547005383792086,42.666666666666664,1.7511900715420876,42.5,1.8340219092571781,5.0,3.0,5.0,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
42.0,42.0,42.0,44.0,41.0,39.0,42.0,0.0,42.5,1.7606816861661558,42.75,1.4847711791870262,4.0,2.0,3.0,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146
